ticket,magic,symbol,direction,volume,open_price,close_price,open_time,close_time,profit,commission,swap,comment
289043678,0,XAUUSD.pc,SELL,0.02,4334.18000,4334.18000,2026.06.15 15:24:56,2026.06.15 15:24:56,-6.18,-0.06,0.00,
289043688,0,XAUUSD.pc,SELL,0.01,4334.18000,4334.18000,2026.06.15 15:24:56,2026.06.15 15:24:56,5.02,-0.03,0.00,
289043690,0,XAUUSD.pc,SELL,0.01,4334.18000,4334.18000,2026.06.15 15:24:56,2026.06.15 15:24:56,7.66,-0.03,0.00,
289067248,0,XAUUSD.pc,SELL,0.01,4334.73000,4334.73000,2026.06.15 15:29:13,2026.06.15 15:29:13,0.00,-0.03,0.00,
289067311,0,XAUUSD.pc,SELL,0.01,4334.96000,4334.96000,2026.06.15 15:29:17,2026.06.15 15:29:17,0.00,-0.03,0.00,
289067330,0,XAUUSD.pc,SELL,0.01,4334.63000,4334.63000,2026.06.15 15:29:18,2026.06.15 15:29:18,0.00,-0.03,0.00,
289067341,0,XAUUSD.pc,SELL,0.01,4334.34000,4334.34000,2026.06.15 15:29:20,2026.06.15 15:29:20,0.00,-0.03,0.00,
289087096,0,XAUUSD.pc,SELL,0.01,4341.22000,4341.22000,2026.06.15 15:33:52,2026.06.15 15:33:52,0.00,-0.03,0.00,
289087271,0,XAUUSD.pc,SELL,0.01,4340.87000,4340.87000,2026.06.15 15:33:56,2026.06.15 15:33:56,0.00,-0.03,0.00,
289093265,0,XAUUSD.pc,SELL,0.01,4342.20000,4342.20000,2026.06.15 15:35:03,2026.06.15 15:35:03,0.00,-0.03,0.00,
289100679,0,XAUUSD.pc,SELL,0.01,4342.43000,4342.43000,2026.06.15 15:37:30,2026.06.15 15:37:30,0.00,-0.03,0.00,
289106010,0,XAUUSD.pc,SELL,0.01,4345.80000,4345.80000,2026.06.15 15:38:32,2026.06.15 15:38:32,0.00,-0.03,0.00,
289106182,0,XAUUSD.pc,SELL,0.01,4346.06000,4346.06000,2026.06.15 15:38:32,2026.06.15 15:38:32,0.00,-0.03,0.00,
289115644,0,XAUUSD.pc,SELL,0.01,4345.50000,4345.50000,2026.06.15 15:42:36,2026.06.15 15:42:36,0.00,-0.03,0.00,
289117462,0,XAUUSD.pc,SELL,0.01,4344.93000,4344.93000,2026.06.15 15:43:38,2026.06.15 15:43:38,0.00,-0.03,0.00,
289117518,0,XAUUSD.pc,SELL,0.01,4344.94000,4344.94000,2026.06.15 15:43:40,2026.06.15 15:43:40,0.00,-0.03,0.00,
289152694,0,XAUUSD.pc,SELL,0.01,4345.48000,4345.48000,2026.06.15 15:55:29,2026.06.15 15:55:29,0.00,-0.03,0.00,
289154072,0,XAUUSD.pc,SELL,0.01,4346.28000,4346.28000,2026.06.15 15:56:09,2026.06.15 15:56:09,0.00,-0.03,0.00,
289156031,0,XAUUSD.pc,SELL,0.01,4348.11000,4348.11000,2026.06.15 15:56:40,2026.06.15 15:56:40,0.00,-0.03,0.00,
289156254,0,XAUUSD.pc,SELL,0.01,4347.96000,4347.96000,2026.06.15 15:56:42,2026.06.15 15:56:42,0.00,-0.03,0.00,
289158573,0,XAUUSD.pc,SELL,0.01,4349.27000,4349.27000,2026.06.15 15:57:13,2026.06.15 15:57:13,0.00,-0.03,0.00,
289174657,0,XAUUSD.pc,BUY,0.01,4342.71000,4342.71000,2026.06.15 16:02:37,2026.06.15 16:02:37,-8.08,-0.03,0.00,
289174660,0,XAUUSD.pc,BUY,0.01,4342.71000,4342.71000,2026.06.15 16:02:37,2026.06.15 16:02:37,-0.51,-0.03,0.00,
289174661,0,XAUUSD.pc,BUY,0.01,4342.71000,4342.71000,2026.06.15 16:02:37,2026.06.15 16:02:37,-1.49,-0.03,0.00,
